gene,logFC,pvalue
LAP3,1.1132969429268051,0.0007269800189087
STAU2,0.5623117514999167,0.0007289473027366
UBE2J1,0.8271973755635429,0.0007309778001964
SLC25A36,-0.908032125504672,0.0007374146430974
SMARCC1,-0.7406665639275873,0.0007456309724075
TNIP1,0.4946571434744111,0.0007505357268206
FOXC1,-0.8676120619860512,0.0007643484079045
PARP1,0.3046855378900854,0.0007696402291019
ASH1L,-0.4563432701018506,0.0007699784549494
MED20,-1.076409400470553,0.0007703034794365
CSNK1G2,-1.1901117444192275,0.0007711259293253
CRELD2,0.8897923077770375,0.0007791918118034
TNPO1,-0.7556277283863171,0.0007845556269051
CD6,1.212762291937321,0.0007878521873916
CTCF,0.3341514233050446,0.0007880259863963
HSP90AA1,-0.6183643909660681,0.0007965222423235
SLC26A1,-0.7263468195161096,0.0007967354485879
JUNB,-1.616574128685686,0.0008002941912513
CRYM,-0.8718068992054686,0.0008004155215252
PARVB,-1.8281510685093307,0.0008008063001299
ASH2L,0.4219503518685084,0.0008210181882628
ABCC4,0.9688530897645472,0.0008214844919846
IFNA8,1.6495246715574476,0.0008222002027827
MAT2B,0.3223569718037513,0.0008232968557379
ENO1,-1.2887719964304534,0.0008240068356189
CEBPZ,-0.7709301365490475,0.0008253932962685
NOLC1,-0.7815179977400435,0.0008317486382632
ZBTB17,-0.9768020887056172,0.0008318348065012
BRINP1,-0.8494672774336314,0.0008335359733423
STAT5B,-0.7025707571839597,0.0008398035367255
CYTIP,1.1413615778860835,0.0008423837348057
LILRA2,-1.163099889655137,0.000843786168507
SLC1A5,-0.6859809934588768,0.0008450965804943
PSG2,1.2324307379789603,0.0008551123615687
SLC26A10,-0.823615118997628,0.0008630104652402
SRRM1,-0.7262705006495995,0.000866985914649
IP6K1,-0.5374448613848379,0.0008716837340539
NSD1,0.6232640837205556,0.000878084995747
TNFSF10,1.0610028914605412,0.0008802848056798
POT1,0.6818993341078219,0.0008804689608513
MSH2,0.593821370423516,0.0008857798245989
KIF25,-1.5794258003171424,0.0008935411730091
IL32,2.751634557342949,0.0009000389687947
FUT8,1.0009939088080442,0.0009080767219856
TCF25,-0.8284793535985493,0.0009089100297627
STAMBP,0.3073810690695175,0.0009120402302462
BLNK,1.2842669286329471,0.0009163029327221
MAPK8,-1.1834113862810458,0.0009275561158295
RPS10,-0.4718312343407707,0.0009275725201266
DCAF16,-0.6014420565313152,0.0009370919817032
RAB8A,0.4942249481036995,0.000938759309235
ZNF652,0.5795456660988005,0.0009391786681064
MYBL2,1.3669633571482054,0.0009447120733204
ISG20,3.153326157205297,0.0009463121404621
CMAS,0.5950270050525104,0.0009507476910081
PTPN12,-1.822551627155792,0.0009537953079805
CCR2,1.3640270329134383,0.0009579235627033
RYR1,1.4085637523399237,0.0009643826860718
ADM2,-1.482009151876479,0.0009667668043566
PNOC,2.1672816110994804,0.0009673784319883
TRAC,2.056767052124174,0.0009747226616165
CCDC47,-0.7565147840517277,0.0009758055883266
TCTN2,-0.4403653744398204,0.0009928069159738
CCR5,1.371104392801616,0.000996553905875
SEMA4D,1.7303817843284666,0.0009993434098338
TRIM46,-1.5243866576277667,0.001000109396905
SARM1,1.193647749344434,0.0010032746051214
TPK1,0.5839230490476268,0.0010097148892146
KCNAB2,-1.4796656302431508,0.0010099689151043
SORBS3,-1.229949200792266,0.0010207030840712
SRSF4,-0.3518181267957541,0.0010247019642315
